ages,depths_real
0,0
1,0.122585438
2,0.245170877
3,0.367756315
4,0.490341753
5,0.612927192
6,0.73551263
7,0.858098068
8,0.980683507
9,1.103268945
10,1.225854383
11,1.348439822
12,1.47102526
13,1.593610698
14,1.692287613
15,1.770598007
16,1.848908401
17,1.927218794
18,2.005529188
19,2.083839582
20,2.162149976
21,2.24046037
22,2.318770764
23,2.397081158
24,2.475391552
25,2.553701946
26,2.63201234
27,2.710322734
28,2.788633128
29,2.866943522
30,2.945253916
31,3.023564309
32,3.101874703
33,3.180185097
34,3.258495491
35,3.331308034
36,3.397920872
37,3.46453371
38,3.531146548
39,3.597759386
40,3.664372224
41,3.730985063
42,3.797597901
43,3.864210739
44,3.930823577
45,3.997436415
46,4.064049253
47,4.130662091
48,4.197274929
49,4.263887767
50,4.330500606
51,4.397113444
52,4.463726282
53,4.53033912
54,4.596951958
55,4.663564796
56,4.730177634
57,4.796790472
58,4.86340331
59,4.930016149
60,4.993161435
61,5.054820628
62,5.116479821
63,5.178139013
64,5.239798206
65,5.301457399
66,5.363116592
67,5.424775785
68,5.486434978
69,5.54809417
70,5.609753363
71,5.671412556
72,5.733071749
73,5.794730942
74,5.856390135
75,5.918049327
76,5.97970852
77,6.041367713
78,6.103026906
79,6.164686099
80,6.226345291
81,6.288004484
82,6.349663677
83,6.41132287
84,6.472982063
85,6.534641256
86,6.596300448
87,6.659690875
88,6.723191806
89,6.786692737
90,6.850193669
91,6.9136946
92,6.977195531
93,7.040696462
94,7.104197393
95,7.167698324
96,7.231199255
97,7.29486
98,7.35916
99,7.42346
100,7.48776
101,7.55206
102,7.61636
103,7.68066
104,7.74496
105,7.80926
106,7.87356
107,7.9374
108,7.9994
109,8.0614
110,8.1234
111,8.1854
112,8.2474
113,8.3094
114,8.3714
115,8.4334
116,8.4954
117,8.55696
118,8.61676
119,8.67656
120,8.73636
121,8.79616
122,8.85596
123,8.91576
124,8.97556
125,9.03536
126,9.09516
127,9.15488
128,9.21428
129,9.27368
130,9.33308
131,9.39248
132,9.45188
133,9.51128
134,9.57068
135,9.63008
136,9.68948
137,9.74856
138,9.80636
139,9.86416
140,9.92196
141,9.97976
142,10.03756
143,10.09536
144,10.15316
145,10.21096
146,10.26876
147,10.32634
148,10.38304
149,10.43974
150,10.49644
151,10.55314
152,10.60984
153,10.66654
154,10.72324
155,10.77994
156,10.83664
157,10.8933
158,10.9498
159,11.0063
160,11.0628
161,11.1193
162,11.1758
163,11.2323
164,11.2888
165,11.3453
166,11.4018
167,11.45808
168,11.51348
169,11.56888
170,11.62428
171,11.67968
172,11.73508
173,11.79048
174,11.84588
175,11.90128
176,11.95668
177,12.01196
178,12.06676
179,12.12156
180,12.17636
181,12.23116
182,12.28596
183,12.34076
184,12.39556
185,12.45036
186,12.50516
187,12.55992
188,12.61452
189,12.66912
190,12.72372
191,12.77832
192,12.83292
193,12.88752
194,12.94212
195,12.99672
196,13.05132
197,13.10576
198,13.15956
199,13.21336
200,13.26716
201,13.32096
202,13.37476
203,13.42856
204,13.48236
205,13.53616
206,13.58996
207,13.64368
208,13.69708
209,13.75048
210,13.80388
211,13.85728
212,13.91068
213,13.96408
214,14.01748
215,14.07088
216,14.12428
217,14.17766
218,14.23096
219,14.28426
220,14.33756
221,14.39086
222,14.44416
223,14.49746
224,14.55076
225,14.60406
226,14.65736
227,14.7107
228,14.7642
229,14.8177
230,14.8712
231,14.9247
232,14.9782
233,15.0317
234,15.0852
235,15.1387
236,15.1922
237,15.24572
238,15.29932
239,15.35292
240,15.40652
241,15.46012
242,15.51372
243,15.56732
244,15.62092
245,15.67452
246,15.72812
247,15.78168
248,15.83508
249,15.88848
250,15.94188
251,15.99528
252,16.04868
253,16.10208
254,16.15548
255,16.20888
256,16.26228
257,16.31548
258,16.36788
259,16.42028
260,16.47268
261,16.52508
262,16.57748
263,16.62988
264,16.68228
265,16.73468
266,16.78708
267,16.8393
268,16.8908
269,16.9423
270,16.9938
271,17.0453
272,17.0968
273,17.1483
274,17.1998
275,17.2513
276,17.3028
277,17.3543
278,17.4058
279,17.4573
280,17.5088
281,17.5603
282,17.6118
283,17.6633
284,17.7148
285,17.7663
286,17.8178
287,17.86904
288,17.91924
289,17.96944
290,18.01964
291,18.06984
292,18.12004
293,18.17024
294,18.22044
295,18.27064
296,18.32084
297,18.3708
298,18.4198
299,18.4688
300,18.5178
301,18.5668
302,18.6158
303,18.6648
304,18.7138
305,18.7628
306,18.8118
307,18.86078
308,18.90968
309,18.95858
310,19.00748
311,19.05638
312,19.10528
313,19.15418
314,19.20308
315,19.25198
316,19.30088
317,19.34962
318,19.39772
319,19.44582
320,19.49392
321,19.54202
322,19.59012
323,19.63822
324,19.68632
325,19.73442
326,19.78252
327,19.83042
328,19.87752
329,19.92462
330,19.97172
331,20.01882
332,20.06592
333,20.11302
334,20.16012
335,20.20722
336,20.25432
337,20.30132
338,20.34792
339,20.39452
340,20.44112
341,20.48772
342,20.53432
343,20.58092
344,20.62752
345,20.67412
346,20.72072
347,20.7673
348,20.8138
349,20.8603
350,20.9068
351,20.9533
352,20.9998
353,21.0463
354,21.0928
355,21.1393
356,21.1858
357,21.23224
358,21.27844
359,21.32464
360,21.37084
361,21.41704
362,21.46324
363,21.50944
364,21.55564
365,21.60184
366,21.64804
367,21.69414
368,21.73984
369,21.78554
370,21.83124
371,21.87694
372,21.92264
373,21.96834
374,22.01404
375,22.05974
376,22.10544
377,22.15116
378,22.19696
379,22.24276
380,22.28856
381,22.33436
382,22.38016
383,22.42596
384,22.47176
385,22.51756
386,22.56336
387,22.60904
388,22.65424
389,22.69944
390,22.74464
391,22.78984
392,22.83504
393,22.88024
394,22.92544
395,22.97064
396,23.01584
397,23.06088
398,23.10528
399,23.14968
400,23.19408
401,23.23848
402,23.28288
403,23.32728
404,23.37168
405,23.41608
406,23.46048
407,23.50474
408,23.54844
409,23.59214
410,23.63584
411,23.67954
412,23.72324
413,23.76694
414,23.81064
415,23.85434
416,23.89804
417,23.94174
418,23.98544
419,24.02914
420,24.07284
421,24.11654
422,24.16024
423,24.20394
424,24.24764
425,24.29134
426,24.33504
427,24.37868
428,24.42208
429,24.46548
430,24.50888
431,24.55228
432,24.59568
433,24.63908
434,24.68248
435,24.72588
436,24.76928
437,24.81264
438,24.85584
439,24.89904
440,24.94224
441,24.98544
442,25.02864
443,25.07184
444,25.11504
445,25.15824
446,25.20144
447,25.2446
448,25.2876
449,25.3306
450,25.3736
451,25.4166
452,25.4596
453,25.5026
454,25.5456
455,25.5886
456,25.6316
457,25.6746
458,25.7176
459,25.7606
460,25.8036
461,25.8466
462,25.8896
463,25.9326
464,25.9756
465,26.0186
466,26.0616
467,26.1047
468,26.1482
469,26.1917
470,26.2352
471,26.2787
472,26.3222
473,26.3657
474,26.4092
475,26.4527
476,26.4962
477,26.53978
478,26.58368
479,26.62758
480,26.67148
481,26.71538
482,26.75928
483,26.80318
484,26.84708
485,26.89098
486,26.93488
487,26.9788
488,27.0228
489,27.0668
490,27.1108
491,27.1548
492,27.1988
493,27.2428
494,27.2868
495,27.3308
496,27.3748
497,27.4188
498,27.4628
499,27.5068
500,27.5508
501,27.5948
502,27.6388
503,27.6828
504,27.7268
505,27.7708
506,27.8148
507,27.85874
508,27.90244
509,27.94614
510,27.98984
511,28.03354
512,28.07724
513,28.12094
514,28.16464
515,28.20834
516,28.25204
517,28.29568
518,28.33908
519,28.38248
520,28.42588
521,28.46928
522,28.51268
523,28.55608
524,28.59948
525,28.64288
526,28.68628
527,28.72968
528,28.77308
529,28.81648
530,28.85988
531,28.90328
532,28.94668
533,28.99008
534,29.03348
535,29.07688
536,29.12028
537,29.16364
538,29.20684
539,29.25004
540,29.29324
541,29.33644
542,29.37964
543,29.42284
544,29.46604
545,29.50924
546,29.55244
547,29.59554
548,29.63824
549,29.68094
550,29.72364
551,29.76634
552,29.80904
553,29.85174
554,29.89444
555,29.93714
556,29.97984
557,30.02242
558,30.06452
559,30.10662
560,30.14872
561,30.19082
562,30.23292
563,30.27502
564,30.31712
565,30.35922
566,30.40132
567,30.44344
568,30.48564
569,30.52784
570,30.57004
571,30.61224
572,30.65444
573,30.69664
574,30.73884
575,30.78104
576,30.82324
577,30.86542
578,30.90752
579,30.94962
580,30.99172
581,31.03382
582,31.07592
583,31.11802
584,31.16012
585,31.20222
586,31.24432
587,31.28644
588,31.32864
589,31.37084
590,31.41304
591,31.45524
592,31.49744
593,31.53964
594,31.58184
595,31.62404
596,31.66624
597,31.70842
598,31.75052
599,31.79262
600,31.83472
601,31.87682
602,31.91892
603,31.96102
604,32.00312
605,32.04522
606,32.08732
607,32.12938
608,32.17128
609,32.21318
610,32.25508
611,32.29698
612,32.33888
613,32.38078
614,32.42268
615,32.46458
616,32.50648
617,32.54842
618,32.59052
619,32.63262
620,32.67472
621,32.71682
622,32.75892
623,32.80102
624,32.84312
625,32.88522
626,32.92732
627,32.96944
628,33.01164
629,33.05384
630,33.09604
631,33.13824
632,33.18044
633,33.22264
634,33.26484
635,33.30704
636,33.34924
637,33.39154
638,33.43424
639,33.47694
640,33.51964
641,33.56234
642,33.60504
643,33.64774
644,33.69044
645,33.73314
646,33.77584
647,33.81854
648,33.86124
649,33.90394
650,33.94664
651,33.98934
652,34.03204
653,34.07474
654,34.11744
655,34.16014
656,34.20284
657,34.24596
658,34.29076
659,34.33556
660,34.38036
661,34.42516
662,34.46996
663,34.51476
664,34.55956
665,34.60436
666,34.64916
667,34.69372
668,34.73732
669,34.78092
670,34.82452
671,34.86812
672,34.91172
673,34.95532
674,34.99892
675,35.04252
676,35.08612
677,35.12916
678,35.16996
679,35.21076
680,35.25156
681,35.29236
682,35.33316
683,35.37396
684,35.41476
685,35.45556
686,35.49636
687,35.53676
688,35.57556
689,35.61436
690,35.65316
691,35.69196
692,35.73076
693,35.76956
694,35.80836
695,35.84716
696,35.88596
697,35.92452
698,35.96212
699,35.99972
700,36.03732
701,36.07492
702,36.11252
703,36.15012
704,36.18772
705,36.22532
706,36.26292
707,36.30054
708,36.33824
709,36.37594
710,36.41364
711,36.45134
712,36.48904
713,36.52674
714,36.56444
715,36.60214
716,36.63984
717,36.67786
718,36.71716
719,36.75646
720,36.79576
721,36.83506
722,36.87436
723,36.91366
724,36.95296
725,36.99226
726,37.03156
727,37.07136
728,37.11316
729,37.15496
730,37.19676
731,37.23856
732,37.28036
733,37.32216
734,37.36396
735,37.40576
736,37.44756
737,37.48976
738,37.53356
739,37.57736
740,37.62116
741,37.66496
742,37.70876
743,37.75256
744,37.79636
745,37.84016
746,37.88396
747,37.92796
748,37.97276
749,38.01756
750,38.06236
751,38.10716
752,38.15196
753,38.19676
754,38.24156
755,38.28636
756,38.33116
757,38.37566
758,38.41896
759,38.46226
760,38.50556
761,38.54886
762,38.59216
763,38.63546
764,38.67876
765,38.72206
766,38.76536
767,38.80704
768,38.84224
769,38.87744
770,38.91264
771,38.94784
772,38.98304
773,39.01824
774,39.05344
775,39.08864
776,39.12384
777,39.15926
778,39.19556
779,39.23186
780,39.26816
781,39.30446
782,39.34076
783,39.37706
784,39.41336
785,39.44966
786,39.48596
787,39.5225
788,39.56
789,39.5975
790,39.635
791,39.6725
792,39.71
793,39.7475
794,39.785
795,39.8225
796,39.86
797,39.89748
798,39.93488
799,39.97228
800,40.00968
801,40.04708
802,40.08448
803,40.12188
804,40.15928
805,40.19668
806,40.23408
807,40.27128
808,40.30768
809,40.34408
810,40.38048
811,40.41688
812,40.45328
813,40.48968
814,40.52608
815,40.56248
816,40.59888
817,40.63514
818,40.67084
819,40.70654
820,40.74224
821,40.77794
822,40.81364
823,40.84934
824,40.88504
825,40.92074
826,40.95644
827,40.99252
828,41.03012
829,41.06772
830,41.10532
831,41.14292
832,41.18052
833,41.21812
834,41.25572
835,41.29332
836,41.33092
837,41.36886
838,41.40816
839,41.44746
840,41.48676
841,41.52606
842,41.56536
843,41.60466
844,41.64396
845,41.68326
846,41.72256
847,41.76216
848,41.80296
849,41.84376
850,41.88456
851,41.92536
852,41.96616
853,42.00696
854,42.04776
855,42.08856
856,42.12936
857,42.17016
858,42.21096
859,42.25176
860,42.29256
861,42.33336
862,42.37416
863,42.41496
864,42.45576
865,42.49656
866,42.53736
867,42.57836
868,42.62016
869,42.66196
870,42.70376
871,42.74556
872,42.78736
873,42.82916
874,42.87096
875,42.91276
876,42.95456
877,42.99656
878,43.03936
879,43.08216
880,43.12496
881,43.16776
882,43.21056
883,43.25336
884,43.29616
885,43.33896
886,43.38176
887,43.4247
888,43.4682
889,43.5117
890,43.5552
891,43.5987
892,43.6422
893,43.6857
894,43.7292
895,43.7727
896,43.8162
897,43.85972
898,43.90332
899,43.94692
900,43.99052
901,44.03412
902,44.07772
903,44.12132
904,44.16492
905,44.20852
906,44.25212
907,44.29546
908,44.33776
909,44.38006
910,44.42236
911,44.46466
912,44.50696
913,44.54926
914,44.59156
915,44.63386
916,44.67616
917,44.71826
918,44.75956
919,44.80086
920,44.84216
921,44.88346
922,44.92476
923,44.96606
924,45.00736
