Momentum (GeV/c),Differential Spectrum (s cm^2 sr (GeV/c))^-1,Differential Spectrum Error,Integral Spectrum (s cm^2 sr)^-1,Integral Spectrum Error
20,2.43e-5,0.07e-5,2.96e-4,0.06e-4
30,8.80e-6,0.18e-6,1.48e-4,0.03e-4
40,4.06e-6,0.09e-6,8.67e-5,0.23e-5
50,2.20e-6,0.05e-6,5.70e-5,0.17e-5
60,1.31e-6,0.03e-6,4.02e-5,0.13e-5
70,8.43e-7,0.23e-7,2.94e-5,0.10e-5
80,5.71e-7,0.17e-7,2.26e-5,0.08e-5
90,4.04e-7,0.13e-7,1.78e-5,0.07e-5
100,2.96e-7,0.10e-7,1.42e-5,0.06e-5
150,8.68e-8,0.36e-8,6.00e-6,0.32e-6
200,3.56e-8,0.17e-8,3.18e-6,0.22e-6
300,9.77e-9,0.65e-9,1.26e-6,0.14e-6
400,3.80e-9,0.42e-9,6.46e-7,1.02e-7
500,1.79e-9,0.25e-9,3.74e-7,0.84e-7
