Rigidity (GV/c) Minimum | Maximum | Median | N Observed Mu- | N Observed Mu+,Differential Flux mu- (m^2 s sr GV/c)^-1 | % Error,Differential Flux mu+ (m^2 s sr GV/c)^-1 | % Error
0.247 0.321 0.283 133 164,0.1595E+2 (11.0),0.2390E+2 (10.0)
0.321 0.393 0.356 231 188,0.2064E+2 (7.9),0.2013E+2 (8.8)
0.393 0.463 0.428 232 260,0.1759E+2 (7.4),0.2279E+2 (7.1)
0.463 0.564 0.513 418 439,0.1788E+2 (5.9),0.2128E+2 (5.8)
0.564 0.633 0.598 299 326,0.1660E+2 (6.5),0.2023E+2 (6.3)
0.633 0.722 0.677 418 442,0.1673E+2 (5.8),0.1961E+2 (5.6)
0.722 0.841 0.780 577 637,0.1649E+2 (5.1),0.1939E+2 (4.8)
0.841 1.008 0.922 698 904,0.1365E+2 (4.7),0.1814E+2 (4.1)
1.008 1.198 1.101 795 794,0.1316E+2 (4.5),0.1609E+2 (4.0)
1.198 1.478 1.334 992 1240,0.1094E+2 (4.1),0.1328E+2 (3.6)
1.478 1.931 1.694 1313 1674,0.8756E+1 (3.7),0.1093E+2 (3.2)
1.931 2.508 2.205 1299 1512,0.6789E+1 (3.6),0.7705E+1 (3.3)
2.508 3.579 3.004 1514 1976,0.4244E+1 (3.3),0.5404E+1 (2.9)
3.579 5.008 4.238 1252 1535,0.2634E+1 (3.5),0.3145E+1 (3.1)
5.008 8.341 6.456 1408 1700,0.1274E+1 (3.3),0.1506E+1 (3.1)
8.341 12.51 10.19 696 839,0.5025E+0 (4.3),0.5983E+0 (3.9)
12.51 16.68 14.42 290 349,0.2124E+0 (6.2),0.2523E+0 (5.7)
16.68 25.01 20.36 245 349,0.8653E-1 (6.7),0.1246E+0 (5.7)
25.01 33.34 28.80 105 134,0.3788E-1 (9.9),0.4709E-1 (8.8)
33.34 50.01 40.64 87 87,0.1389E-1 (11.5),0.1430E-1 (11.3)
50.01 100.01 70.16 54 101,0.2423E-2 (15.8),0.5176E-2 (10.7)
