Momentum Range,mu+ P_avg,"mu+ Flux, dF_stat, dF_sys",mu- P_avg,"mu- Flux, dF_stat, dF_sys"
0.576–0.621,0.599,1.34±0.02±0.03×101,0.598,1.25±0.02±0.03×101
0.621–0.669,0.645,1.33±0.02±0.03×101,0.644,1.22±0.02±0.03×101
0.669–0.720,0.694,1.32±0.02±0.03×101,0.694,1.19±0.02±0.03×101
0.720–0.776,0.748,1.27±0.02±0.03×101,0.748,1.15±0.02±0.02×101
0.776–0.836,0.806,1.26±0.02±0.03×101,0.806,1.13±0.01±0.02×101
0.836–0.901,0.869,1.23±0.01±0.03×101,0.868,1.08±0.01±0.02×101
0.901–0.970,0.934,1.21±0.01±0.03×101,0.936,1.06±0.01±0.02×101
0.970–1.04,1.01,1.16±0.01±0.02×101,1.01,1.00±0.01±0.02×101
1.04–1.13,1.08,1.10±0.01±0.02×101,1.08,0.96±0.01±0.02×101
1.13–1.21,1.17,1.07±0.01±0.02×101,1.17,0.91±0.01±0.02×101
1.21–1.31,1.26,1.02±0.01±0.02×101,1.26,0.88±0.01±0.02×101
1.31–1.41,1.36,9.78±0.10±0.21,1.36,8.53±0.10±0.18
1.41–1.52,1.46,9.38±0.10±0.20,1.46,8.01±0.09±0.17
1.52–1.63,1.57,8.72±0.09±0.18,1.57,7.53±0.08±0.16
1.63–1.76,1.70,8.59±0.09±0.18,1.70,7.22±0.08±0.15
1.76–1.90,1.83,7.85±0.08±0.17,1.83,6.72±0.07±0.14
1.90–2.04,1.97,7.41±0.07±0.16,1.97,6.28±0.07±0.13
2.04–2.20,2.12,7.03±0.07±0.15,2.12,5.71±0.06±0.12
2.20–2.37,2.28,6.38±0.06±0.13,2.29,5.36±0.06±0.11
2.37–2.55,2.46,6.01±0.06±0.13,2.46,4.92±0.05±0.10
2.55–2.75,2.65,5.45±0.05±0.13,2.65,4.62±0.05±0.10
2.75–2.96,2.86,5.02±0.05±0.12,2.86,4.09±0.05±0.09
2.96–3.19,3.08,4.62±0.05±0.11,3.08,3.69±0.04±0.08
3.19–3.44,3.32,4.17±0.04±0.10,3.31,3.31±0.04±0.07
3.44–3.71,3.57,3.79±0.04±0.09,3.57,3.06±0.04±0.06
3.71–3.99,3.85,3.37±0.04±0.08,3.85,2.70±0.03±0.06
3.99–4.30,4.14,3.02±0.03±0.07,4.14,2.37±0.03±0.05
4.30–4.63,4.47,2.74±0.03±0.06,4.47,2.11±0.03±0.04
4.63–4.99,4.81,2.41±0.03±0.06,4.81,1.87±0.02±0.04
4.99–5.38,5.18,2.11±0.02±0.05,5.18,1.66±0.02±0.04
5.38–5.79,5.58,1.87±0.02±0.04,5.58,1.46±0.02±0.03
5.79–6.24,6.01,1.63±0.02±0.04,6.01,1.24±0.02±0.03
6.24–6.73,6.48,1.44±0.02±0.03,6.48,1.13±0.02±0.02
6.73–7.25,6.98,1.21±0.02±0.03,6.98,0.96±0.01±0.02
7.25–7.81,7.52,1.06±0.01±0.02,7.52,0.83±0.01±0.02
7.81–8.41,8.10,9.11±0.13±0.21×10−1,8.10,6.93±0.11±0.15×10−1
8.41–9.06,8.72,8.07±0.11±0.19×10−1,8.72,6.08±0.10±0.13×10−1
9.06–9.76,9.40,7.06±0.10±0.16×10−1,9.40,5.15±0.09±0.11×10−1
9.76–10.5,10.1,5.67±0.09±0.13×10−1,10.1,4.54±0.08±0.10×10−1
10.5–11.3,10.9,4.90±0.08±0.11×10−1,10.9,3.85±0.07±0.08×10−1
11.3–12.2,11.8,4.38±0.07±0.10×10−1,11.8,3.24±0.06±0.07×10−1
12.2–13.2,12.7,3.58±0.06±0.08×10−1,12.7,2.74±0.06±0.06×10−1
13.2–14.2,13.6,3.07±0.06±0.07×10−1,13.7,2.31±0.05±0.05×10−1
14.2–15.3,14.7,2.49±0.05±0.06×10−1,14.7,1.97±0.04±0.04×10−1
15.3–16.4,15.8,2.13±0.04±0.05×10−1,15.8,1.68±0.04±0.04×10−1
16.4–17.7,17.1,1.76±0.04±0.04×10−1,17.0,1.40±0.03±0.03×10−1
17.7–19.1,18.4,1.49±0.03±0.03×10−1,18.4,1.15±0.03±0.02×10−1
19.1–20.6,19.8,1.22±0.03±0.03×10−1,19.8,0.96±0.03±0.02×10−1
20.6–23.9,22.1,9.57±0.09±0.22×10−2,22.1,7.36±0.08±0.15×10−2
23.9–27.7,25.6,6.69±0.07±0.16×10−2,25.6,5.04±0.06±0.11×10−2
27.7–32.1,29.7,4.52±0.06±0.10×10−2,29.8,3.48±0.05±0.07×10−2
32.1–37.3,34.5,2.93±0.04±0.07×10−2,34.5,2.26±0.04±0.05×10−2
37.3–43.3,40.1,2.01±0.03±0.05×10−2,40.1,1.55±0.03±0.03×10−2
43.3–50.2,46.5,1.31±0.02±0.03×10−2,46.5,1.04±0.02±0.02×10−2
50.2–58.3,54.0,8.76±0.18±0.22×10−3,54.0,6.91±0.16±0.16×10−3
58.3–67.7,62.7,5.72±0.14±0.15×10−3,62.7,4.54±0.12±0.11×10−3
67.7–78.5,72.8,4.01±0.11±0.11×10−3,72.8,2.88±0.09±0.08×10−3
78.5–91.1,84.4,2.55±0.08±0.08×10−3,84.5,1.93±0.07±0.06×10−3
