Momentum (GeV/c),Intensity (cm^2 s sr GeV/c)^-1,Error (%),Measured Number
1.12,2.973e-5,1.45,4782
1.41,3.111e-5,1.07,8751
1.76,3.263e-5,0.85,13876
2.29,3.168e-5,0.71,19604
2.85,3.068e-5,0.63,25368
3.57,2.848e-5,0.57,30900
4.49,2.606e-5,0.53,36244
5.66,2.332e-5,0.49,40920
7.12,2.021e-5,0.48,44192
8.95,1.705e-5,0.46,46468
11.26,1.373e-5,0.46,46910
14.17,1.070e-5,0.47,45497
17.83,8.029e-6,0.48,42596
22.44,5.708e-6,0.51,37938
28.23,3.964e-6,0.55,33075
35.52,2.637e-6,0.60,27560
44.70,1.712e-6,0.67,22421
56.25,1.064e-6,0.76,17488
70.79,6.479e-7,0.86,13465
89.09,3.751e-7,1.01,9771
112.13,2.208e-7,1.18,7241
141.12,1.234e-7,1.41,5027
177.62,6.632e-8,1.70,3440
223.56,3.735e-8,2.06,2408
281.39,1.869e-8,2.53,1559
354.18,9.689e-9,3.15,1008
445.81,5.436e-9,3.92,759
625.46,1.770e-9,3.87,793
990.22,3.982e-10,6.30,370
