z,ice_eq_z
0,0
0.2,0.069132459
0.4,0.138506731
0.6,0.208122816
0.8,0.277980715
1,0.348080426
1.2,0.418421951
1.4,0.489005312
1.6,0.559831101
1.8,0.630901552
2,0.702221141
2.2,0.773796567
2.4,0.845636669
2.6,0.917752355
2.8,0.990156555
3,1.062864158
3.2,1.13589193
3.4,1.209257898
3.6,1.282980212
3.8,1.35707649
4,1.431563763
4.2,1.506458484
4.4,1.581776529
4.6,1.657533194
4.8,1.733743179
5,1.810420577
5.2,1.887578883
5.4,1.965230978
5.6,2.043389129
5.8,2.122064991
6,2.201269629
6.2,2.281013504
6.4,2.361306457
6.6,2.442157735
6.8,2.523575997
7,2.605569327
7.2,2.688145239
7.4,2.771310688
7.6,2.855072069
7.8,2.939435217
8,3.024405436
8.2,3.109987524
8.4,3.196185774
8.6,3.283003976
8.8,3.370445412
9,3.458512886
9.2,3.547208741
9.4,3.636534879
9.6,3.726492766
9.8,3.817083437
10,3.908307506
10.2,4.000165176
10.4,4.092656268
10.6,4.18578024
10.8,4.279536178
11,4.373922807
11.2,4.468938516
11.4,4.564581357
11.6,4.660849067
11.8,4.757739074
12,4.855248503
12.2,4.953374203
12.4,5.052112735
12.6,5.151460405
12.8,5.25141327
13,5.351967132
13.2,5.453117564
13.4,5.554859913
13.6,5.657189332
13.8,5.760100769
14,5.863588968
14.2,5.967648494
14.4,6.07227373
14.6,6.177458903
14.8,6.283198071
15,6.38948515
15.2,6.49631392
15.4,6.603678021
15.6,6.711570957
15.8,6.819986053
16,6.92891708
16.2,7.038359419
16.4,7.148307309
16.6,7.25874995
16.8,7.369671912
17,7.481054793
17.2,7.592878172
17.4,7.705120232
17.6,7.817758242
17.8,7.930768244
18,8.04412414
18.2,8.15780065
18.4,8.271777375
18.6,8.386038513
18.8,8.500571302
19,8.61536516
19.2,8.73041115
19.4,8.845701623
19.6,8.961229989
19.8,9.076990509
20,9.192978123
20.2,9.309188342
20.4,9.425617174
20.6,9.542261035
20.8,9.659116715
21,9.776181326
21.2,9.893452247
21.4,10.01092708
21.6,10.12860365
21.8,10.24647994
22,10.36455415
22.2,10.48282461
22.4,10.60128976
22.6,10.7199482
22.8,10.83879861
23,10.95783975
23.2,11.07707049
23.4,11.19648979
23.6,11.31609667
23.8,11.43589022
24,11.55586961
24.2,11.67603403
24.4,11.79638276
24.6,11.9169151
24.8,12.03763044
25,12.15852816
25.2,12.2796077
25.4,12.40086855
25.6,12.52231021
25.8,12.6439322
26,12.76573408
26.2,12.88771544
26.4,13.00987589
26.6,13.13221506
26.8,13.2547326
27,13.3774282
27.2,13.50030154
27.4,13.62335233
27.6,13.7465803
27.8,13.8699852
28,13.99356679
28.2,14.11732483
28.4,14.24125912
28.6,14.36536944
28.8,14.4896556
29,14.6141174
29.2,14.73875467
29.4,14.86356725
29.6,14.98855496
29.8,15.11371767
30,15.23905522
30.2,15.36456748
30.4,15.49025434
30.6,15.61611567
30.8,15.74215134
31,15.86836127
31.2,15.99474533
31.4,16.12130344
31.6,16.24803551
31.8,16.37494145
32,16.50202114
32.2,16.62927452
32.4,16.75670151
32.6,16.88430202
32.8,17.01207598
33,17.14002334
33.2,17.26814401
33.4,17.39643793
33.6,17.52490504
33.8,17.65354529
34,17.78235862
34.2,17.91134497
34.4,18.04050429
34.6,18.16983653
34.8,18.29934165
35,18.42901959
35.2,18.55887031
35.4,18.68889376
35.6,18.8190899
35.8,18.94945868
36,19.08000007
36.2,19.21071404
36.4,19.34160054
36.6,19.47265954
36.8,19.60389098
37,19.73529486
