ages,depths_real
0,0
1,0.092575906
2,0.185151811
3,0.277456787
4,0.369710007
5,0.461747996
6,0.553680773
7,0.645455658
8,0.737070209
9,0.82858581
10,0.919884331
11,1.01114441
12,1.102129074
13,1.193113738
14,1.283810259
15,1.374483186
16,1.464933093
17,1.55529566
18,1.645501046
19,1.735552535
20,1.825514583
21,1.915251499
22,2.004970585
23,2.094386749
24,2.183802913
25,2.272949321
26,2.362036054
27,2.450927426
28,2.539673721
29,2.628306769
30,2.716699431
31,2.805070844
32,2.893094651
33,2.981118458
34,3.068839131
35,3.156477024
36,3.243911559
37,3.331145465
38,3.418290533
39,3.505102784
40,3.591915035
41,3.678329949
42,3.764704057
43,3.850810049
44,3.936730767
45,4.022528254
46,4.10798154
47,4.193434826
48,4.278444723
49,4.363417721
50,4.448110542
51,4.532591557
52,4.616971019
53,4.700949517
54,4.784928015
55,4.868486469
56,4.951953047
57,5.035198863
58,5.118145215
59,5.201084625
60,5.283503522
61,5.365922419
62,5.448028316
63,5.529913569
64,5.611721182
65,5.693067606
66,5.774414029
67,5.855388193
68,5.936191543
69,6.016879971
70,6.097136917
71,6.177393864
72,6.257256571
73,6.336964687
74,6.416557668
75,6.495715353
76,6.574873039
77,6.653654462
78,6.732260905
79,6.810791129
80,6.888846259
81,6.966901389
82,7.044639345
83,7.122143787
84,7.199648228
85,7.276605757
86,7.353560792
87,7.430298718
88,7.506706245
89,7.583113771
90,7.65909673
91,7.734959237
92,7.810744429
93,7.886064937
94,7.961385445
95,8.036443523
96,8.111225527
97,8.18600753
98,8.260354998
99,8.334602445
100,8.408786696
101,8.482503956
102,8.556221217
103,8.629725093
104,8.702916937
105,8.776108781
106,8.848950167
107,8.921621719
108,8.994293272
109,9.0664904
110,9.138647097
111,9.210727564
112,9.282375126
113,9.354022688
114,9.425489975
115,9.496634376
116,9.567778777
117,9.638651296
118,9.709298747
119,9.779946197
120,9.850242361
121,9.920399284
122,9.990556208
123,10.06029435
124,10.12996736
125,10.19964036
126,10.26883868
127,10.33803453
128,10.40718125
129,10.47590684
130,10.54463243
131,10.61326798
132,10.68153032
133,10.74979267
134,10.81793437
135,10.88574058
136,10.95354679
137,11.02121164
138,11.08856892
139,11.1559262
140,11.22313081
141,11.29004643
142,11.35696205
143,11.42372269
144,11.49020396
145,11.55668523
146,11.62301771
147,11.689072
148,11.75512628
149,11.82104602
150,11.8866807
151,11.95231537
152,12.01783732
153,12.08305978
154,12.14828225
155,12.21342089
156,12.27823855
157,12.3430562
158,12.40782558
159,12.47224581
160,12.53666604
161,12.6010797
162,12.66510988
163,12.72914006
164,12.79317024
165,12.85685854
166,12.92050602
167,12.9841535
168,13.04751906
169,13.11079116
170,13.17406326
171,13.23711814
172,13.30002214
173,13.36292613
174,13.42568193
175,13.48822504
176,13.55076815
177,13.61323598
178,13.67542537
179,13.73761477
180,13.79980416
181,13.86164806
182,13.92349086
183,13.98533366
184,14.04691744
185,14.1084207
186,14.16992396
187,14.23125729
188,14.292428
189,14.35359871
190,14.4146908
191,14.47553587
192,14.53638095
193,14.59722603
194,14.65776686
195,14.71829315
196,14.77881945
197,14.83914291
198,14.89935719
199,14.95957147
200,15.01968543
201,15.07959438
202,15.13950334
203,15.19941229
204,15.25902546
205,15.31863571
206,15.37824595
207,15.43767064
208,15.4969887
209,15.55630677
210,15.61554957
211,15.67458194
212,15.73361431
213,15.79264668
214,15.85143428
215,15.91018706
216,15.96893983
217,16.02756323
218,16.08604151
219,16.14451979
220,16.20298429
221,16.26119368
222,16.31940308
223,16.37761247
224,16.43566139
225,16.49361002
226,16.55155866
227,16.6094662
228,16.66716443
229,16.72486265
230,16.78256087
231,16.84009249
232,16.89755195
233,16.95501141
234,17.01242174
235,17.06965486
236,17.12688797
237,17.18412108
238,17.24119993
239,17.29821956
240,17.35523918
241,17.41221571
242,17.4690349
243,17.52585408
244,17.58267327
245,17.63936246
246,17.69599462
247,17.75262677
248,17.80923067
249,17.86569002
250,17.92214937
251,17.97860872
252,18.03496916
253,18.09126927
254,18.14756938
255,18.2038593
256,18.26001111
257,18.31616293
258,18.37231474
259,18.4283957
260,18.48440775
261,18.54041979
262,18.59643184
263,18.65231949
264,18.70819869
265,18.76407788
266,18.81991169
267,18.8756638
268,18.93141591
269,18.98716802
270,19.04282607
271,19.098456
272,19.15408593
273,19.20969525
274,19.26520721
275,19.32071917
276,19.37623113
277,19.43167772
278,19.48707537
279,19.54247302
280,19.59787067
281,19.65316149
282,19.70844805
283,19.7637346
284,19.81898391
285,19.87416221
286,19.92934052
287,19.98451883
288,20.03962109
289,20.0946937
290,20.14976631
291,20.20482983
292,20.25979903
293,20.31476824
294,20.36973744
295,20.42466109
296,20.47952896
297,20.53439683
298,20.5892647
299,20.64405257
300,20.69882098
301,20.75358939
302,20.80834289
303,20.86301355
304,20.91768422
305,20.97235488
306,21.026978
307,21.08155248
308,21.13612697
309,21.19070145
310,21.24519734
311,21.2996771
312,21.35415685
313,21.4086218
314,21.46300816
315,21.51739452
316,21.57178088
317,21.6261229
318,21.68041711
319,21.73471131
320,21.78900552
321,21.84322715
322,21.89743035
323,21.95163355
324,22.00582706
325,22.05994032
326,22.11405359
327,22.16816685
328,22.22224349
329,22.27626782
330,22.33029214
331,22.38431646
332,22.43827833
333,22.49221466
334,22.54615098
335,22.60008716
336,22.65393637
337,22.70778557
338,22.76163478
339,22.81545918
340,22.86922211
341,22.92298503
342,22.97674796
343,23.03046237
344,23.0841398
345,23.13781723
346,23.19149466
347,23.24510077
348,23.29869345
349,23.35228613
350,23.40586958
351,23.45937821
352,23.51288683
353,23.56639546
354,23.61987307
355,23.67329832
356,23.72672356
357,23.78014881
358,23.83352205
359,23.88686455
360,23.94020705
361,23.99354955
362,24.04681984
363,24.10008019
364,24.15334054
365,24.20659079
366,24.25976958
367,24.31294838
368,24.36612717
369,24.41927655
370,24.47237433
371,24.52547211
372,24.57856989
373,24.63161967
374,24.68463696
375,24.73765426
376,24.79067155
377,24.84362293
378,24.89656024
379,24.94949755
380,25.0024312
381,25.05528902
382,25.10814683
383,25.16100464
384,25.21384173
385,25.26662051
386,25.3193993
387,25.37217808
388,25.42491971
389,25.47761991
390,25.53032011
391,25.58302031
392,25.63566755
393,25.68828961
394,25.74091167
395,25.79353373
396,25.84608763
397,25.89863197
398,25.95117632
399,26.00371519
400,26.05618222
401,26.10864926
402,26.16111629
403,26.21356341
404,26.26595353
405,26.31834364
406,26.37073376
407,26.42309009
408,26.47540367
409,26.52771725
410,26.58003083
411,26.63229732
412,26.68453474
413,26.73677216
414,26.78900958
415,26.84118714
416,26.89334875
417,26.94551036
418,26.99767197
419,27.04976149
420,27.10184764
421,27.1539338
422,27.20601127
423,27.25802231
424,27.31003336
425,27.3620444
426,27.41403523
427,27.46597149
428,27.51790776
429,27.56984402
430,27.62174905
431,27.67361085
432,27.72547265
433,27.77733445
434,27.8291545
435,27.88094215
436,27.9327298
437,27.98451745
438,28.03625334
439,28.08796715
440,28.13968096
441,28.19139477
442,28.24304728
443,28.29468755
444,28.34632782
445,28.39796809
446,28.44953799
447,28.50110501
448,28.55267204
449,28.60423306
450,28.65572713
451,28.7072212
452,28.75871527
453,28.81019493
454,28.86161633
455,28.91303773
456,28.96445913
457,29.01585817
458,29.06720718
459,29.11855619
460,29.16990519
461,29.22122435
462,29.27250123
463,29.32377811
464,29.375055
465,29.42629498
466,29.47750002
467,29.52870505
468,29.57991009
469,29.63107162
470,29.68220506
471,29.7333385
472,29.78447195
473,29.83555572
474,29.88661783
475,29.93767994
476,29.98874205
477,30.03974876
478,30.09073979
479,30.14173082
480,30.19272185
481,30.24365216
482,30.29457236
483,30.34549256
484,30.39641276
485,30.44726735
486,30.49811697
487,30.54896658
488,30.5998162
489,30.65059573
490,30.701375
491,30.75215427
492,30.80292949
493,30.85363866
494,30.90434783
495,30.95505699
496,31.00575821
497,31.05639751
498,31.10703681
499,31.15767611
500,31.20830397
501,31.25887362
502,31.30944327
503,31.36001293
504,31.41056806
505,31.4610683
506,31.51156853
507,31.56206877
508,31.61255179
509,31.66298285
510,31.7134139
511,31.76384496
512,31.81425649
513,31.86461859
514,31.91498069
515,31.96534278
516,32.01568344
517,32.0659768
518,32.11627017
519,32.16656353
520,32.21683392
521,32.26705876
522,32.3172836
523,32.36750844
524,32.41770916
525,32.4678657
526,32.51802224
527,32.56817878
528,32.61831043
529,32.66839888
530,32.71848733
531,32.76857579
532,32.81863894
533,32.86865952
534,32.91868009
535,32.96870066
536,33.01869591
